timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,problem_id,difficulty,problem_number,run_idx,request_status,stop_reason,input_tokens,output_tokens,ttft_s,gen_time_s,generation_wall_s,total_wall_s,tokens_per_s,passed,error_type,error_message
2026-07-04T07:35:47.606454+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_e,hard,12,1,completed,completed,648,1585,8.532893,0.278847,7.115610,8.885614,222.750,True,,
2026-07-04T07:35:58.948301+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_e,hard,12,2,completed,completed,648,1869,9.379286,0.415134,9.033123,9.856365,206.905,False,,
2026-07-04T07:36:11.377793+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc391_e,hard,12,2,completed,end_turn,855,1899,17.303826,6.312819,19.141401,23.727844,99.209,True,,
2026-07-04T07:36:37.737472+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc391_e,hard,12,3,completed,end_turn,855,845,9.986716,3.126772,8.068642,13.114798,104.726,True,,
2026-07-04T07:36:53.624291+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_e,hard,12,3,completed,completed,648,1754,8.718234,0.402566,7.971308,9.194689,220.039,True,,
2026-07-04T07:37:05.355549+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_g,hard,13,1,completed,completed,541,1485,5.713048,0.713198,5.736028,6.514210,258.890,True,,
2026-07-04T07:37:14.508187+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc391_g,hard,13,1,completed,end_turn,745,1284,11.662058,5.598950,12.810902,17.292990,100.227,True,,
2026-07-04T07:37:35.641111+00:00,3,97792492a7126b72,anthropic-claude-fable-5-v6-hard1-80-xhigh-v3,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc391_g,hard,13,2,completed,end_turn,745,2764,19.374461,10.757316,26.002998,30.151867,106.295,True,,
2026-07-04T07:38:08.674520+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_g,hard,13,2,completed,completed,541,1499,6.804374,0.708184,6.418353,7.638060,233.549,True,,
2026-07-04T07:38:19.705032+00:00,3,48229f9536677007,openai-model-fast-v6-hard1-80-xhigh-v3,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc391_g,hard,13,3,completed,completed,541,1500,6.198157,0.549980,6.090188,6.826481,246.298,True,,
